,countries,genres,movie_duration,year
135,"['США', 'Канада']","['фантастика', 'боевик', 'приключения']",113,2014
136,['США'],"['фантастика', 'боевик', 'приключения']",142,2014
137,['США'],"['мультфильм', 'фантастика', 'комедия', 'приключения', 'семейный']",92,2014
138,['США'],"['боевик', 'триллер', 'криминал']",137,2015
139,['США'],"['фантастика', 'боевик', 'приключения']",141,2015
140,['США'],"['мультфильм', 'боевик', 'комедия', 'приключения', 'семейный']",91,2015
141,['США'],"['фантастика', 'фэнтези', 'боевик', 'приключения']",136,2015
142,['США'],"['фантастика', 'приключения', 'боевик']",125,2015
143,['США'],"['фантастика', 'боевик', 'триллер']",126,2015
144,['Россия'],"['мультфильм', 'комедия', 'приключения', 'фэнтези']",74,2015
145,"['США', 'Великобритания', 'Канада', 'Китай']","['фэнтези', 'приключения']",102,2015
146,"['Великобритания', 'США']","['фантастика', 'приключения']",144,2015
147,['США'],"['мультфильм', 'семейный', 'комедия']",95,2015
148,['США'],"['мультфильм', 'фантастика', 'комедия', 'приключения', 'семейный']",93,2015
149,"['Великобритания', 'Испания', 'США']","['боевик', 'драма', 'приключения']",150,2015
150,['США'],"['мультфильм', 'фэнтези', 'комедия', 'семейный']",89,2015
151,['США'],['мелодрама'],120,2015
152,"['Великобритания', 'США']","['боевик', 'триллер', 'приключения']",148,2015
153,"['Австралия', 'США']","['боевик', 'фантастика', 'приключения']",120,2015
154,"['США', 'Великобритания', 'Исландия']","['триллер', 'драма', 'приключения', 'биография', 'история', 'спорт']",121,2015
155,"['США', 'Корея Южная']","['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный']",80,2015
156,"['США', 'Германия']","['фантастика', 'боевик', 'триллер', 'приключения']",137,2015
157,['Россия'],"['комедия', 'музыка']",112,2015
158,['США'],"['мультфильм', 'комедия', 'криминал', 'детектив', 'приключения', 'семейный']",108,2016
159,"['Япония', 'США']","['мультфильм', 'комедия', 'приключения', 'семейный']",87,2016
160,['Россия'],"['история', 'драма']",133,2016
161,['США'],"['фантастика', 'боевик', 'комедия', 'приключения']",108,2016
162,['США'],"['фантастика', 'фэнтези', 'боевик', 'приключения']",118,2016
163,['США'],"['фантастика', 'фэнтези', 'боевик', 'приключения']",115,2016
